PLATFORM_NUMBER,EDMO_CODE
1901423,1390
1901424,1390
1901425,1390
1901426,1390
1901427,1390
1901428,1390
1901429,1390
1901430,1390
1901431,1390
1901432,1390
1901433,1390
1901434,1390
1901435,1390
1901436,1390
1901437,1390
1901438,1390
1901439,1390
1901440,1390
1901441,1440
1901442,1440
1901443,1440
1901444,1440
1901445,1440
1901446,1440
1901447,1440
1901448,3844
1901449,3844
1901450,3844
1901451,3844
1901453,3844
1901454,3844
1901455,3844
1901456,3844
1901457,3844
1901458,3844
1901459,3844
1901460,3844
1901461,3844
1901462,3844
1901463,3844
1901464,3844
1901465,3844
1901466,3844
1901467,3844
1901468,3844
1901469,1051
1901470,1051
1901479,3844
1901480,3844
1901481,3844
1901482,3844
1901483,3844
1901484,3844
1901485,3844
1901486,3844
1901487,3844
1901488,3844
1901489,3844
1901490,3844
1901491,3844
1901492,3844
1901493,3844
1901494,1051
1901495,1051
1901496,1051
1901497,1051
1901498,3844
1901499,3844
1901500,3844
1901501,3844
1901502,3844
1901503,3844
1901504,3844
1901505,3844
1901506,3844
1901507,3844
1901508,1440
1901509,1440
1901510,1440
1901511,1440
1901512,1440
1901513,1440
1901514,1440
1901515,1440
1901516,1440
1901517,1440
1901518,3577
1901519,3577
1901520,3577
1901521,3577
1901522,3577
1901528,3844
1901529,3844
1901530,3844
1901531,3844
1901532,3844
1901533,3844
1901534,3844
1901535,3844
1901536,3844
1901537,3844
1901538,3844
1901539,3844
1901540,3844
1901541,3844
1901542,3844
1901543,3844
1901544,3844
1901545,3844
1901546,3844
1901547,3844
1901548,1390
1901549,1390
1901550,1390
1901551,1390
1901552,1390
1901553,1390
1901554,3844
1901555,3844
1901556,3844
1901557,3844
1901558,3844
1901559,3844
1901560,3844
1901561,3844
1901562,3844
1901563,3844
1901564,3844
1901565,3844
1901566,3844
1901567,3844
1901568,3844
1901569,3844
1901570,3844
1901571,3844
1901572,3844
1901573,3844
1901574,3844
1901575,3844
1901576,3844
1901577,3844
1901578,3844
1901579,3844
1901580,3844
1901581,3844
1901582,3844
1901583,3844
1901584,3844
1901585,3844
1901586,3844
1901587,3844
1901588,3844
1901589,3844
1901590,3844
1901591,3844
1901592,3844
1901593,3844
1901594,3844
1901595,3844
1901596,3844
1901597,3844
1901598,3844
1901599,3844
1901600,3844
1901601,3844
1901602,3844
1901603,3844
1901604,1440
